"id","code","name","user_type_id:id","reconcile","chart_template_id:id","tag_ids","currency_id:id"
"uz_nsbu_442030","442030","Авансовые платежи по НДФЛ (ГПД)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_443000","443000","Авансовые платежи по налогу на доходы (прибыль)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_444000","444000","Авансовые платежи по акцизному налогу","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_445000","445000","Авансовые платежи по налогу на имущество","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_449000","449000","Авансовые платежи по прочим налогам и сборам в бюджет","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_451010","451010","Авансовые платежи по имущественному и личному страхованию","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_452010","452010","Авансовые платежи по социальному налогу","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_452020","452020","Авансовые платежи по взносам граждан в ГПФ","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_452030","452030","Авансовые платежи по социальному налогу (ГПД)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_452040","452040","Авансовые платежи по взносам в ГПФ от товарооборота","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_453010","453010","Авансовые платежи по взносам на ИНПС (обязательная часть)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_453020","453020","Авансовые платежи по взносам на ИНПС (добровольная часть)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_453030","453030","Авансовые платежи по взносам на ИНПС (ГПД)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
